Q,A
"이것은 (하나의) 파이이다.  이것은(하나의) 사과이다. 
This is  a pie.   It is  an  apple.

supermarket , a,an, hair, egg","a,an"
"그것에 관하여 말해줘
Tell me all  _______  it.

about, pass, farm, chicken",about
"나비가 마당을 가로질러 펄럭인다.
A butterfly flutters  _______ the yard.

month, across, telephone, march",across
"너는 즉시 행동해야만한다. 
You must be prompt to _______.

danger, act, store, airport",act
"나의 새로운 이메일 주소에 유의하세요,
Please note my new e-mail _______ .

study, door, address, only",address
"나는 너무 두렵다. 
(I'm) _______ so.

afraid, ship, present, visit",afraid
"점심식사 후에 그는 서재로 물러갔다. 
After lunch, he retired to his study.

live, keep, supper, after",after
"화창한 일요일 오후예요. 
It is a nice Sunday _______.

fork, people, afternoon, bag",afternoon
"그는 또 술에 취했다. 
He is lost in the sauce _______.

kind, age, bad, again",again
"그녀는 아주 나이 어린 소녀다. 
She is a girl of tender _______.

age, number, box, excuse",age
"난 한 시간 전에 벌써 옷 다 입었다구. 
I was dressed an hour _______.

orange, rocket, ago, buy",ago
"나는 더러운 공기는 정말 싫어. 
I really hate the dirty _______.

leaf, lot, hate, air",air
"소년이 공항에 있다. 
The boy is at the _______.

airport, drive, old, shoes",airport
"god의 새 음반이 나왔어. 
The new _______ from god just came out.

blow, fine, album, how",album
"누가 우리 모두 중에서 가장 예쁘니? 
Who is the prettiest of us _______?

supermarket , all, great, neck",all
"그는 도로변을 따라 걸었다. 
He walked _______ the side of a way.

air, thank, violin, along",along
"그는 항상 서두른다. 
He is _______ in a hurry.

always, bag, sock, holiday",always
"차가 나무 사이에 있다. 
The car is _______ the trees.

interest, among, start, kid",among
"잠옷을 입고 자라. 
Put on your nightgown _______ go to bed.

earth, subway, peace, and",and
"그녀는 상당히 화가 났다. 
She was _______ more than a little.

angry, child, once, like",angry
"개는 충직한 동물이다 
A dog is a faithful _______.

remember , will, guitar, animal",animal
"적당히 대답을 해 주십시오 
Answer him as you think fit.

answer, dial, about, only",answer
"이것이 어떤 위험도 초래하지 않길 바란다
I hope that it doesn't invite _______ danger.

week, pull, any, lion",any
"우리 아파트는 3층에 있어.
My _______ is on the third floor.

roll, pencil, apartment, picnic",apartment
"여자가 사과를 먹고 있다
The woman is eating an _______.

hear, ask, up, apple",apple
"팔이 부러졌어. 
I have broken my _______.

arm, afraid, problem, a,an",arm
"지구는 태양의 주위를 회전한다
The earth moves _______ the sun.

middle, around, base, tooth",around
"다음 버스가 언제 오죠?
When does the next bus _______?

arrive, stop, brown, god",arrive
"그들은 모두 광대같이 옷을 입고 있었다.
They were all dressed _______ clowns.

great, time, excellent, as",as
"“너 어디 가니?” 그녀가 물었다.
Where are you going?' she _______ed.

ask, down, computer, glad",ask
"배는 부두에 정박해 있다. 
The ship is docking _______ the wharf.

subway, glove, wash, at",at
"나의 숙모는 아주 친절한 분이다. 
My _______ is a very nice lady.

show, sorry, aunt, shower",aunt
"가을에는 바람이 많이 불어요. 
It is windy in the _______.

out, sad, problem, autumn",autumn
"그녀는 해변에서 멀리 떨어진 곳으로 헤엄쳐갔다. 
She swam far _______ from the beach.

fast, remember , grape, away",away
"그들에게 사내 아이가 태어났다 
A boy _______ was born to them.

guitar, small, baby, orange",baby
"등 뒤 단추 좀 채워 줘. 
Do my buttons up in _______.

strong, desk, you, back",back
"그리 나쁜 건 아니네
That's not too _______.

near, then, trip, bad",bad
"책상에 네 가방 내려놓아. 
Put your _______ down on the desk.

breakfast , dance, hope, bag",bag
"공이 바구니 옆에 있다. 
The _______ is next to the basket.

record, mom, listen, ball",ball
"소녀가 풍선을 들고 있다. 
The girl is holding a _______.

together, ink, know, balloon",balloon
"바나나 숲으로 가자! 
Let's go to the _______ woods.

banana, dolphin, bench, red",banana
"나도 밴드에 가입하고 싶다 
I want to join the _______, too.

cold, band, music, dish",band
"이 근처에 은행이 있나요? 
Is there a _______ near here?

now, table, bank, ice",bank
"그 조각상의 토대는 시멘트이다
The _______ of the statue is cement.

bottle, travel, good, base",base
"사과들이 바구니 안에 있다. 
The apples are in a _______.

basket, woman, drive, finger",basket
"소녀가 목욕을 하고 있다. 
The girl is taking a _______.

put, bath, ring, stone",bath
"지각하고 싶지 않아요. 
I don't want to _______ late.

be, war, vacation, coffee",be
"사람들이 해변에 있다. 
The people are at the _______.

o'clock, beach, beside, exercise",beach
"그는 곰 인형을 찾을 수가 없어요. 
He can't find his teddy _______.

bear, war, capital, okay",bear
"음악이 아름다워요. 
The music is _______.

picture, bicycle, usual, beautiful",beautiful
"공상 과학 소설은 아주 재미있기 때문이야. 
Because science fiction is very fun.

because, lesson, cassette, poor",because
"너는 언제 기독교인이 되었니? 
When did you _______ a Christian?

big, for, guitar, become",become
"램프는 침대 옆에 놓여져 있다. 
The lamp is next to the _______.

what, autumn, bed, have",bed
"그 이전에는 어디에 살았어? 
Where did you live _______ that?

birthday, before, begin, robot",before
"도로 공사는 언제 시작되는가? 
When will the road works _______?

need, hear, as, begin",begin
"생쥐가 모자 뒤에 숨었어요. 
The mouse is _______ the hat.

behind, baby, cake, danger",behind
"그녀는 초인종에 손가락을 댔다. 
She touched her finger to the _______.

bell, queen, strike, under",bell
"한 커플이 스탠드 밑에 있다. 
A couple is _______ the stands.

ball, below, count, glad",below
"공원에는 벤치가 없다. 
There's no _______ in the park.

want, pick, bench, beside",bench
"나무 옆에 남자 아이가 있습니까? 
Is there a boy _______ the trees?

supper, act, beside, week",beside
"개는 고양이와 소년 사이에 있다. 
The dog is _______ the cat and the boy.

ice, between, meter, grandmother ",between
"남자가 자전거를 타고 있다. 
A man is riding a _______.

nose, picture, as, bicycle",bicycle
"코끼리는 (몸집이) 큰 동물이에요. 
An elephant is a _______ animal.

sweet, big, need, have",big
"하늘에는 새가 없다. 
There is no _______ in the sky.

bird, shoulder   , return, flag",bird
"This very day is my birthday.
This very day is my _______.

shout, birthday, spend, service",birthday
"검정색 드레스는 어때요? 
Why not wear the _______ dress?

banana, shop, wear, black",black
"깃발이 바람에 휘날린다 
The flags _______ in the wind.

noise, blow, winter, cream",blow
"이 파란색 치마는 얼마예요?
How much is this _______ skirt?

blue, ball, matter, find",blue
"그것은 일종의 판을 이용하는 놀이다
It's a kind of _______ game.

book, board, sad, drink",board
"보트 안에 두 명이 있다. 
Two people are in the _______.

sure, word, boat, hen",boat
"그녀는 몸과 마음이 다 같이 아팠다. 
She ached in _______ and mind.

body, family, switch, today",body
"   책이 가위 옆에 있다. 
The _______ is next to the scissors.

candy, carry, change, book",book
"   병에 잉크가 조금밖에 없다 
There is little ink in the _______.

try, beach, quick, bottle",bottle
"의자 위에 어항이 있다. 
The fish _______ is on the chair.

yellow, shower, picnic, bowl",bowl
"로봇이 상자 옆에 있다. 
The robot is next to the _______.

box, as, box, sweet",box
"소년이 공항에 있다. 
The _______ is at the airport.

chopstick , dance, office, boy",boy
"여자가 빵을 굽고 있다. 
The woman is baking the _______.

thank, bridge, fast, bread",bread
"우리는 전통을 깨뜨리고 싶지는 않아요. 
We don't want to _______ tradition

break, fun, stamp, city",break
"아침 식사 시간은 7시이다 
Our _______hour is at seven o'clock.

south, breakfast , follow, bag",breakfast 
"한강 대교는 길이가 얼마나 됩니까? 
How long is the Han River Bridge?

market, bridge, stupid, together",bridge
"쾌활한 소녀네! 
What a _______ and breezy girl!

cap, soccer, bright, hold",bright
"커피 한 잔 갖다주세요. 
Please _______ me a cup of coffee.

parent, pretty, wood, bring",bring
"동생에게 잘하렴. 
Be nice to your little _______.

brother, poster, sports, cloud",brother
"린다는 갈색 셔츠를 입고 있다. 
Linda is wearing a _______ shirt.

surprise, by, brown, till",brown
"나는 하루에 세 번 이를 닦는다. 
I _______ my teeth three times a day

out, drop, brush, swim",brush
"이 책상은 나무로 만들어졌다. 
This desk _______ up into wood.

yesterday , build, hold, angry",build
"이것이 타지 않게 조심해
Be careful not to _______ it.

oh, curtain, burn, full",burn
"버스가 코너를 돌고 있다. 
The _______ is turning the corner.

be, think, umbrella, bus",bus
"고맙지만, 나는 매우 바쁘다. 
Thanks, but I am pretty _______.

feel, busy, lake, dream",busy
"하고는 싶지만, 너무 졸려. 
I'd love to, _______ I feel too sleepy.

over, calendar, help, but",but
"식빵 위에 버터를 바른다. 
Spread the _______ on the bread.

through, butter, shape, how",butter
"텔레비전의 전원 버튼을 누르세요. 
Push the power _______ on the TV.

balloon, button, leg, horse",button
"아이스크림 좀 사 드릴까요? 
May I _______ you some ice cream?

shape, gas, buy, police",buy
"시내가 우리집 옆을 흐른다. 
A brook streams _______ our house.

by, welcome, wrong, wing",by
"안녕히 가십시오 
Good-_______.

bye, size, name, hear",bye
"남자가 달력 위에 뭔가를 쓰고 있다. 
The man is writing on the _______.

calendar, party, sheet, cut",calendar
"그 치즈 케이크는 달지 않다.
This cheese _______ is not sweet.

till, surprise, tea, cake",cake
"내가 의사를 부를게. 
I'll _______ a doctor.

plane, up, call, bed",call
"카메라가 컴퓨터 위에 있다. 
The _______ is on the computer.

car, strawberry, eraser, camera",camera
"애들은 캠프에서 즐겁게 시간을 보내고 있다 
Children are having fun at the _______.

taste, camp, hand, slow",camp
"이 자켓을 입어봐도 돼요? 
Can I try on this jacket?

red, fair, woman, can",can
"탁자 위에 초가 있다. 
There is a _______ on the table.

tiger, pocket, candle, young",candle
"사탕을 왜 그렇게 많이 먹어요? 
Why do you eat so much _______?

below, hospital, candy, how",candy
"소년이 모자를 쓰고 있다. 
The boy is wearing a _______.

garden, cap, mirror, become",cap
"파리는 프랑스의 수도이다. 
Paris is the _______ of France.

sky, kill, bowl, capital",capital
"그 남자는 배의 선장이다. 
The man is the _______ of the ship

captain, as, count, shower",captain
"남자들이 차에 타고 있다. 
The men are riding in a _______.

car, skate, water, short",car
"내일 그에게 카드를 보낼거야. 
I'll send him a _______ tomorrow.

card, hiking, set, I",card
"난 네가 뭐라해도 상관없어. 
I don't _______ what you say.

noise, care, speed, Miss",care
"그는 그 상자를 옳길 만큼 힘이 세다. 
He is strong enough to _______ the box.

pink, ribbon, taste, carry",carry
"그런 경우가 많기는 하지만 항상 그런 것은 아닙니다. 
That’s often the _______, but not always.

may, wide, go, case",case
"그는 카세트에 돈을 치렀다. 
He paid over to the _______.

game, job, tie, cassette",cassette
"고양이가 소파 옆에 있다. 
The _______ is next to the sofa.

tell, office, cat, captain",cat
"공이 다시 튀어올 때 잡아라. 
Catch the ball on the rebound.

cold, catch, run, afternoon",catch
"이 방은 천장이 낮다 
This room has a low _______.

mad, ceiling, problem, milk",ceiling
"덴버시의 중앙에 위치에 있습니다. 
In the _______ of downtown Denver.

center, yesterday , will, come",center
"안락의자 하나를 사고 싶어요. 
I want to buy an easy _______.

left, rocket, capital, chair",chair
"분필 한 개를 갖다 주세요. 
Bring me a piece of _______.

yes, fork, then, chalk",chalk
"기회를 잡아야겠다고 생각했어요. 
I thought I'd take a _______.

run, chance, corner, build",chance
"바뀐 주소에 유의하세요. 
Please note our _______ of address.

low, hit, change, pay",change
"그것들은 텔레비전만큼 값이 싸다.
They are as _______ as a television.

cheap, box, leave, strong",cheap
"그 치즈 케이크는 달지 않다.
This _______ cake is not sweet.

pay, cheese, print, time",cheese
"피자를 드시겠어요, 닭고기를 드시겠어요? 
Do you like pizza or _______?

beautiful, chicken, fine, hill",chicken
"참 귀찮은 애로군! 
What a worry the _______ is!

egg, smile, ride, child",child
"그들은 밥을 먹기 위해 젓가락을 사용한다. 
They use _______to eat rice.

answer, chopstick , famous, fact",chopstick 
"언덕 위에 교회가 하나 있다. 
There is a _______ on the hill

butter, church, village, candy",church
"소녀가 원을 그리고 있다. 
The girl is drawing a _______.

skate, food, circle, thousand",circle
"나는 도시에서 살기가 싫다 
I do not like living in the _______.

before, city, by, beach",city
"한 반에 몇 명이 있죠? 
How many people are there in a _______?

fine, class, roll, classmate",class
"그녀의 반 친구들 모두 아주 슬폈어요.
All of her _______s were very sad.

only, center, classmate, ticket",classmate
"그는 방을 깨끗하게 치우기로 했다. 
He decided to _______ his room.

square, clean, short, return",clean
"그 언덕은 오르기 힘들다. 
The hill is hard to _______.

climb, green, hen, low",climb
"이 시계는 10 분 빠르다.
This _______ is ten minutes fast.

make, great, clock, storm",clock
"오늘 몇 시에 문 닫죠? 
What time do you _______ today?

close, hard, pretty, tired",close
"대부분의 사람들에게는 옷이 거의 없었다. 
Most people had very few _______.

welcome, clothes, tooth, family",clothes
"구름 한 점 보이지 않는다 
Not a _______ is in sight.

then, hit, cloud, word",cloud
"저는 그 테니스 클럽 회원이에요. 
I'm a part of the tennis _______.

soup, cousin, club, yeah",club
"소년이 코트를 사고 있다
The boy is buying a _______.

age, earth, sure, coat",coat
"커피에 벌레가 들어 있어요! 
There is a bug in my _______!

low, coffee, quick, fine",coffee
"소년이 동전을 집어 올리고 있다. 
The boy is picking up a _______.

coin, pink, need, door",coin
"오늘은 춥지가 않군요, 그렇죠? 
It's not _______ today, is it?

what, temple, nice, cold",cold
"색이 정말 너무 아름다워요! 
The _______ is just so beautiful!

ribbon, color, let, fill",color
"몇 분 후에 다시 와주세요. 
Please _______ back in a few minutes

come, morning, now, hear",come
"여기 있는 컴퓨터 잠시 좀 써도 될까요? 
May I use this _______ for a while?

bottle, table, computer, finish",computer
"저 요리 못하는거 아시잖아요. 
You know I'm a poor _______.

cook, market, gate, warm",cook
"날씨가 매우 서늘했다. 
The weather was nice and _______.

tomorrow, snow, cool, card",cool
"이것은 유명한 그림의 복사본이다. 
This is a _______ of a famous picture.

care, copy, table, taxi",copy
"버스가 코너를 돌고 있다. 
The bus is turning the _______.

yesterday , join, it, corner",corner
"열 셀 동안 입을 다물어라 
Hold mouth shut for a _______ of ten.

here, just, loud, count",count
"그 나라는 축구에 열광적이다. 
The _______ has a mania for soccer.

bath, country, hear, stupid",country
"식사의 주요 코스는 구운 쇠고기였다 
The main _______ was roast beef.

they, course, table, kitchen",course
"에이미, 이쪽은 내 사촌 톰이야. 
Amy, this is my _______, Tom.

cousin, basket, around, lesson",cousin
"그 음식에 덮개를 덮어 주세요. 
Please put a _______ over the food.

floor, hold, cover, poor",cover
"소 한 마리가 말을 쫓아 달려요. 
A _______ runs after the horse.

cow, cover, nose, you",cow
"소녀가 크레용을 던지고 있다. 
The girl is throwing a _______.

star, crayon, okay, moon",crayon
"아이스크림 좀 사 드릴까요? 
May I buy you some ice _______?

apple, cream, mirror, drink",cream
"푸른색 깃발을 가져다 주세요. 
Bring the blue flag to me.

lip, stand, cross, wide",cross
"울지 마라. 
Don't _______.

day, now, cry, shirt",cry
"커피 한 잔 갖다주세요. 
Please bring me a _______ of coffee.

pig, desk, cup, ago",cup
"양탄자와 커튼이 잘 어울린다 
The carpet and _______ are a good match.

cook, soccer, small, curtain",curtain
"파이를 반으로 잘라 맛있게 먹는다. 
Cut the pie in half and enjoy it.

cut, show, present, fair",cut
"아버지가 입원 중이다. 
My _______ is in the hospital.

fine, make, dad, follow",dad
"저는 춤을 출 줄 몰라요. 
I don't know how to _______.

cheese, dance, dial, noise",dance
"위험에 대해 경고받았다 
I was warned of the _______.

handle, danger, stay, breakfast ",danger
"머지않아 어두워질 것이다. 
It will be _______ before long

arm, dark, big, cassette",dark
"우린 아직 날짜를 잡지 않았어요. 
We haven’t set a _______ yet.

now, date, play, as",date
"넌 내 딸이 아니야. 
You are not my daughter.

hear, now, tell, daughter ",daughter 
"그는 낮에 자고 밤에 일한다. 
He sleeps by _______ and works by night.

good, set, up, day",day
"오누이가 둘다 죽었다. 
Both brother and sister are _______.

rocket, set, dead, stamp",dead
"사랑이란 바다만큼 깊은 것. 
Love is as _______ as the ocean.

she, deep, radio, pilot",deep
"넌 나한테 너무나 소중한 존재야. 
You are so _______ to my heart.

dirty, dear, gentle, copy",dear
"책상 위에 연필이 네 자루 있다. 
There are four pencils on the _______.

umbrella, desk, paint, poster",desk
"신호음이 들리지 않는다 
I don't get a _______ tone.

north, how, dial, size",dial
"그 일기는 내 여동생이 썼다. 
The _______ was written by my sister.

truck, diary, matter, girl",diary
"나는 탁상용 사전이 있다. 
I have a desk top _______.

color, noisy, dictionary, gate",dictionary
"나는 그가 죽지 않기를 바래요. 
I hope he will not _______.

tie, die, fork, matter",die
" 이건 정말 훌륭한 저녁식사입니다
This is a really great _______.

give, shut, dinner, hen",dinner
"나는 더러운 공기는 정말 싫어. 
I really hate the _______ air.

dirty, eat, away, family",dirty
"이 그릇은 잘 씻기지 않는다 
This _______ does not wash well.

below, top, key, dish",dish
"학생들은 하고 싶은 일이 많다. 
Students want to _______ many things.

noisy, ground, bell, do",do
"우리 삼촌은 유명한 의사예요. 
My uncle is a famous _______.

doctor, eraser, shoes, river",doctor
"나의 개가 없어진 가방을 찾아냈다. 
My _______ nosed out my lost bag.

dog, hole, number, cry",dog
"인형이 책상 뒤에 있다. 
The _______ is behind the desk.

doll, fat, once, holiday",doll
"100만불은 막대한 돈이다 
A million _______ is a mint of money.

dollar, out, party, summer",dollar
"돌고래는 사람을 무서워하지 않는다. 
A _______ isn't afraid of men.

fly, fat, dolphin, plane",dolphin
"치마가 문에 걸렸다. 
The skirt caught in a _______.

door, danger, moon, soccer",door
"우리는 저 아래 강 옆에서 만났어요.
We met _______ by the river.

kitchen, lie, paper, down",down
"실물 그대로 그려라. 
Draw a picture true to nature.

touch, wing, draw, across",draw
"제 꿈은 변호사가 되는 거예요. 
My _______ is to become a lawyer.

great, must, dream, supermarket ",dream
"저 이 옷 입은 거 어때요? 
How do I look in this _______?

people, butter, rock, dress",dress
"차가운 것 좀 마실래? 
Would you like something cold to _______?

family, telephone, over, drink",drink
"여기서는 트럭을 운전할 수 없어. 
You must not _______ a truck here.

surprise, drive, free, easy",drive
"그녀가 물방물을 흘렸다. 
She spilled a _______ of water.

clean, than, when, drop",drop
"남자가 북을 치고 있다. 
The man is beating a _______.

drum, pair, temple, lamp",drum
"이 수건으로 물을 닦으세요. 
Please _______ yourself with this towel.

dry, son, any, television",dry
"우린 오리를 보고 있어요. 
We are looking at the _______.

of, duck, fish, soft",duck
"그는 한쪽 귀가 안 들린다 
He is deaf of one _______.

know, sheet, ear, score",ear
"일찍 자고, 일찍 일어나기. 
Early to bed, _______ to rise.

fill, early, eye, tired",early
"지구는 태양의 둘레를 돈다. 
The _______ travels round the sun.

earth, weak, bath, wing",earth
"해는 동쪽에서 뜬다. 
The sun rises in the _______.

when, strong, card, east",east
"그 일은 보기에는 매우 쉬워 보인다. 
That work is very _______ as it seems.

key, push, easy, she",easy
"점심에 무엇을 먹었니? 
What did you _______ for lunch?

eat, with, hundred, hospital",eat
"비상금에는 손대고 싶지 않아요. 
I don't want to touch our nest _______.

hole, egg, marry, wait",egg
"방안에 빈 좌석이 많다. 
There are many _______ seats in the room.

watch, empty, foot, stick",empty
"휴가가 끝나가고 있다. 
The holidays are drawing to an _______.

corner, end, talk, pay",end
"엔진에서 연기가 나고 있다. 
Smoke is coming out of the _______.

hundred, jungle, engine, coin",engine
"그러나, 나는 연극을 즐기지 못했다. 
However, I did not _______ it.

enjoy, shirt, day, great",enjoy
"그걸 살 만한 돈이 충분하지 않아요. 
I don't have _______ money to buy it.

along, he, till, enough",enough
"지우개 몇 개를 가지고 있니? 
How many _______s do you have?

teach, often, eraser, till",eraser
"너무 즐거운 저녁이었어요. 
It was such an exciting _______.

well, evening, kick, break",evening
"모든 만화 영화는 생각에서 시작됩니다
Every cartoon begins with an idea.

salt, every, lake, post",every
"그녀는 우리 모두에게 빛나는 본보기이다. 
She is a shining _______ to us all.

boy, example, weak, person",example
"난 그게 정말 멋지다고 생각해.
I think it really is _______.

or, deep, excellent, king",excellent
"아주 재미있는 댄스 게임이야. 
It's a very exciting dance game.

key, clock, dollar, excite",excite
"제 부주의를 용서해 주십시오. 
Please _______ me for being careless.

moon, juice, glass, excuse",excuse
"그녀는 운동을 하려고 걷는 것을 좋아한다. 
She likes to walk for _______.

heavy, supermarket , evening, exercise",exercise
"그는 한쪽 눈이 보이지 않는다. 
He is blind in one _______.

eye, window, bear, hard",eye
"오늘 아침엔 그와 얼굴을 마주치고 싶지 않은데. 
I hate to _______ him this morning.

ready, forget, face, make",face
"옳건 옳지 않건 그것은 사실이다. 
Right or not, it is a _______.

center, dream, money, fact",fact
"나는 공정한 대우를 받고 싶다 
I want to receive _______ treatment.

hit, welcome, ship, fair",fair
"서울의 가을은 너무 멋지지 않아요? 
Don't you love Seoul in the _______?

fun, blow, fall, at",fall
"위층에 한 가구가 살고 있다. 
A _______ lives on the floor above.

hamburger, family, taxi, mouth",family
"나는 집에서 멀리 떨어져 산다. 
I live _______ away from home.

feel, true      , far, taste",far
"그는 그의 농장에서 열심히 일했다. 
He worked hard on his _______.

air, farm, okay, airport",farm
"이 시계는 10분 빠릅니다. 
This clock is ten minutes _______.

bank, fast, here, wait",fast
"저 쪽에 뚱뚱한 남자가 누구죠? 
Who's that _______ man over there?

flag, follow, queen, fat",fat
"우리 삼촌은 유명한 의사예요. 
My uncle is a _______ doctor.

sister, gas, month, famous",famous
"나는 아버지처럼 부지런하고 싶어요. 
I want to be diligent like my _______.

apple, father, base, stay",father
"이렇게 늦은 밤이면, 난 너무나 외로움을 느낀다. 
At this time of night, I _______ so alone.

dear, up, poor, feel",feel
"그는 사나흘 있으면 돌아올 것이다 
He will be back in a _______ days.

by, few, evening, which",few
"농부가 들에서 일합니다. 
The farmer works in the _______.

field, full, pen, front",field
"집사람하고 또 싸웠어요. 
I had a _______ with my wife again.

what, violin, leaf, fight",fight
"그릇을 얼음물로 채워라. 
Fill a bowl with ice water.

fill, guitar, dark, party",fill
"그 영화는 프랑스에서 촬영됐다. 
The _______ was shot in France.

test, house, only, film",film
"내려가는 에스컬레이터를 찾을 수가 없군요. 
I can't _______ the down escalator.

find, word, full, base",find
"날씨가 청랑하다 
The weather is _______.

rest, other, heavy, fine",fine
"손가락이 문에 끼었다. 
I caught my _______ in the door.

finger, jump, listen, thank",finger
"보고서를 언제 끝낼 거죠? 
When will you _______ your report?

orange, birthday, finish, usual",finish
"불 피는 거 좀 도와주시겠습니까? 
Would you like help with the _______?

sea, fire, boy, kind",fire
"어항이 의자 위에 있다. 
The _______ bowl is on the chair.

button, thin, season, fish",fish
"내 생각은, 우리는 저것을 고쳐야 해. 
I think we can _______ that.

fool, fix, smoke, coffee",fix
"남자는 기를 올리고 있다. 
The man is raising the _______.

store, not, welcome, flag",flag
"나는 바닥을 쓸고 싶어. 
I'd like to sweep the _______.

care, interest, who, floor",floor
"저 꽃가게는 너무 비싸. 
That _______ shop is too expensive.

story, flower, post, wall",flower
"“내가 너한테 나는 법을 가르쳐 주지.” 여우가 말해요. 
“I’ll teach you how to _______,” says the fox.

rocket, house, fly, turn",fly
"저는 유행을 쫓지(따라가지) 않습니다. 
I don't _______ the trends in fashion.

move, follow, child, sand",follow
"음식이 맛있으면 좋겠다. 
I hope the _______ is nice.

river, food, white, then",food
"저런 바보는 전 세계에도 없을 것이다 
He is the biggest _______ on earth.

print, pine, fool, band",fool
"발을 밟아 죄송합니다. 
I'm sorry that I stepped on your _______.

foot, bridge, gray, violin",foot
"그녀는 한 달 동안 아팠다. 
She fell ill _______ a month.

but, late, for, friend",for
"잊지 말고 편지하시오 
Don't _______ to write the letter.

desk, week, forget, stone",forget
"내게 포크를 하나 더 갖다 주시겠어요? 
Can I have another _______, please?

fork, act, bridge, finish",fork
"오늘 점심에 시간 있어요? 
Are you _______ for lunch today?

set, free, act, camera",free
"남쪽으로부터 신선한 바람이 불겠습니다. 
There will be a _______ wind from south.

balloon, way, fresh, computer",fresh
"어려울 때 친구가 참된 친구다 
A _______ in need is a _______ indeed.

who, friend, spring, sing",friend
"공항은 여기서 좀 멀어요. 
The airport is some distance _______ here.

child, luck, from, side",from
"그는 현관에 있다. 
He is at the _______ door.

green, front, blue, sing",front
"여자는 과일을 사고 있다. 
The woman is shopping for _______.

thing, score, fruit, why",fruit
"바구니에 사과가 하나 가득하다 
The basket is _______ of apples.

afraid, circle, full, tennis",full
"파티가 너무 재미있다. 
The party is a lot of _______.

he, fun, cool, season",fun
"TV에 나오는 야구 경기를 보고 있어. 
I'm watching a baseball _______ on TV.

dollar, game, arrive, hole",game
"남자가 정원 안에 있다. 
The man is in the _______.

get, garden, camp, ring",garden
"이 차는 휘발유를 많이 잡아먹는다 
This car uses a lot of _______

stair, tree, gas, hungry",gas
"문 앞에 어린 소년이 와 있어요. 
There is a young boy at the _______.

gate, smoke, bear, arm",gate
"그 애는 똑똑하고, 점잖기까지 해요. 
He is also smart and _______.

gentle, city, across, note",gentle
"그 돈을 돌려받지 못했다. 
I didn't _______ the money back.

follow, get, introduce, land",get
"소녀는 배를 밀고 있다. 
The _______ is pushing the boat.

storm, tell, girl, may",girl
"몇 분 만 시간을 더 주세요. 
Give me a few more minutes, please.

give, she, green, camera",give
"만나뵙게 되어 반갑습니다
I'm _______ to meet you.

glad, rock, put, bear",glad
